qid,precision@5,precision@20
38,0.2,0.1
10,0.6,0.15
11,0.06666666666666667,0.03333333333333333
39,0.13333333333333333,0.06666666666666667
13,0.13333333333333333,0.06666666666666667
12,0.13333333333333333,0.1
16,0.26666666666666666,0.2
9,0.13333333333333333,0.06666666666666667
8,0.2,0.16666666666666666
17,0.7333333333333333,0.5
15,0.4666666666666667,0.26666666666666666
29,0.13333333333333333,0.13333333333333333
28,0.26666666666666666,0.23333333333333334
14,0.2,0.16666666666666666
58,0.13333333333333333,0.1
64,0.2,0.23333333333333334
59,0.26666666666666666,0.2
61,0.13333333333333333,0.1
49,0.4,0.2
48,0.13333333333333333,0.06666666666666667
60,0.13333333333333333,0.13333333333333333
62,0.4666666666666667,0.3
63,0.26666666666666666,0.13333333333333333
45,0.6,0.36666666666666664
44,0.06666666666666667,0.03333333333333333
40,0.06666666666666667,0.03333333333333333
43,0.4,0.4
57,0.26666666666666666,0.13333333333333333
42,0.2,0.23333333333333334
19,0.13333333333333333,0.06666666666666667
25,0.0,0.0
31,0.2,0.16666666666666666
6,0.4,0.23333333333333334
7,0.13333333333333333,0.06666666666666667
30,0.4,0.23333333333333334
24,0.0,0.0
18,0.0,0.0
32,0.13333333333333333,0.06666666666666667
26,0.0,0.06666666666666667
5,0.0,0.0
4,0.0,0.0
27,0.0,0.0
33,0.0,0.0
37,0.0,0.0
23,0.0,0.0
1,0.0,0.0
22,0.06666666666666667,0.03333333333333333
36,0.3333333333333333,0.36666666666666664
20,0.3333333333333333,0.3333333333333333
3,0.6666666666666666,0.5
2,0.06666666666666667,0.03333333333333333
21,0.2,0.05
