,qid,Q0,result,rank,score,system,relevance,relevant_len,recall,precision
0,1,Q0,CACM-2319,1,25.072155056427576,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.0,0.0
1,1,Q0,CACM-2379,2,21.973899656563354,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.0,0.0
2,1,Q0,CACM-1519,3,21.52551017460956,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.0,0.0
3,1,Q0,CACM-1161,4,20.328663802693665,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.0,0.0
4,1,Q0,CACM-1523,5,20.30578724299645,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.0,0.0
5,1,Q0,CACM-1410,6,20.184611800947614,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,True,5.0,0.2,0.16666666666666666
6,1,Q0,CACM-1605,7,20.12768667208185,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,True,5.0,0.4,0.2857142857142857
7,1,Q0,CACM-2380,8,20.044721063142376,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.25
8,1,Q0,CACM-1591,9,19.525472189997824,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.2222222222222222
9,1,Q0,CACM-1033,10,19.5245836059178,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.2
10,1,Q0,CACM-1698,11,19.04856251428472,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.18181818181818182
11,1,Q0,CACM-1749,12,18.97093133217675,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.16666666666666666
12,1,Q0,CACM-1506,13,18.56245796207421,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.15384615384615385
13,1,Q0,CACM-2629,14,18.54996682044084,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.14285714285714285
14,1,Q0,CACM-1680,15,18.520556353553197,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.13333333333333333
15,1,Q0,CACM-1938,16,18.443314819928936,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.125
16,1,Q0,CACM-2632,17,18.24874678883013,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.11764705882352941
17,1,Q0,CACM-1544,18,18.20370015083744,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.1111111111111111
18,1,Q0,CACM-3127,19,18.20034240319903,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.10526315789473684
19,1,Q0,CACM-2371,20,17.85898715369026,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.1
20,1,Q0,CACM-2740,21,17.614385212930554,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.09523809523809523
21,1,Q0,CACM-3025,22,17.534451600851508,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.09090909090909091
22,1,Q0,CACM-3048,23,17.481830781833978,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.08695652173913043
23,1,Q0,CACM-2357,24,17.456682196873082,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.08333333333333333
24,1,Q0,CACM-1464,25,17.39248082458295,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.08
25,1,Q0,CACM-1647,26,17.380311260219607,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.07692307692307693
26,1,Q0,CACM-1168,27,17.34461292922429,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.07407407407407407
27,1,Q0,CACM-1264,28,17.306688009751586,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.07142857142857142
28,1,Q0,CACM-1440,29,17.193127408760713,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.06896551724137931
29,1,Q0,CACM-0585,30,17.133244231049098,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.06666666666666667
30,1,Q0,CACM-1750,31,16.92241928084219,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.06451612903225806
31,1,Q0,CACM-2541,32,16.812017740516875,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.0625
32,1,Q0,CACM-1657,33,16.61262612122388,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.06060606060606061
33,1,Q0,CACM-2054,34,16.604068482664367,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.058823529411764705
34,1,Q0,CACM-2317,35,16.534466532051272,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.4,0.05714285714285714
35,1,Q0,CACM-2358,36,16.52645551772393,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,True,5.0,0.6,0.08333333333333333
36,1,Q0,CACM-1542,37,16.489371674651636,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.6,0.08108108108108109
37,1,Q0,CACM-1393,38,16.394762784634427,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.6,0.07894736842105263
38,1,Q0,CACM-0414,39,16.24043175017192,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.6,0.07692307692307693
39,1,Q0,CACM-1827,40,16.205855050960107,ccisneu_wordunigram_BM25_PSEUDO_RELEVANCE,False,5.0,0.6,0.075
