,LMDirichlet_score,QO,query_id,rank,system_name
Food_miles.,-15.932276052875388,Q0,7,1,LM Dirichlet
Forest_gardening.,-21.41545142727786,Q0,7,2,LM Dirichlet
Greenhouse_gas_inventory.,-22.231824994641613,Q0,7,3,LM Dirichlet
Greenhouse_debt.,-22.415370049110393,Q0,7,4,LM Dirichlet
GHG_footprint.,-22.482850481853816,Q0,7,5,LM Dirichlet
Wine.,-22.533256921115225,Q0,7,6,LM Dirichlet
Carbon_diet.,-22.863011116979536,Q0,7,7,LM Dirichlet
Emission_Reduction_Unit.,-23.008587515261514,Q0,7,8,LM Dirichlet
Greenhouse_effect.,-23.338763451385866,Q0,7,9,LM Dirichlet
Regional_climate_change_initiatives_in_the_United_States.,-23.40369795221904,Q0,7,10,LM Dirichlet
Low_carbon_diet.,-23.667542361819123,Q0,7,11,LM Dirichlet
Avoiding_Dangerous_Climate_Change_(2005_conference).,-23.67043931864324,Q0,7,12,LM Dirichlet
Avoiding_dangerous_climate_change.,-23.674641000860863,Q0,7,13,LM Dirichlet
Climate_change_in_the_European_Union.,-23.72826972357008,Q0,7,14,LM Dirichlet
Glossary_of_climate_change.,-23.734725578154446,Q0,7,15,LM Dirichlet
Cloud_forcing.,-23.791318207872532,Q0,7,16,LM Dirichlet
Global_warming_potential.,-23.805991901926397,Q0,7,17,LM Dirichlet
Global_warming_in_Belgium.,-23.890169469261323,Q0,7,18,LM Dirichlet
Carbon_dioxide_equivalent.,-23.89821949713393,Q0,7,19,LM Dirichlet
Climate_footprint.,-23.904889189311767,Q0,7,20,LM Dirichlet
Carbon_intensity.,-24.026563498202435,Q0,7,21,LM Dirichlet
Runaway_climate_change.,-24.073219734112655,Q0,7,22,LM Dirichlet
Carbon_accounting.,-24.0806488482882,Q0,7,23,LM Dirichlet
Enterprise_carbon_accounting.,-24.08444076789784,Q0,7,24,LM Dirichlet
Chicago_Climate_Exchange.,-24.11747858248195,Q0,7,25,LM Dirichlet
Sustainable_advertising.,-24.143785642281436,Q0,7,26,LM Dirichlet
Trace_gas.,-24.180864913231744,Q0,7,27,LM Dirichlet
Carbon_credit.,-24.262513958480813,Q0,7,28,LM Dirichlet
Environmental_impact_of_biodiesel.,-24.286800040421518,Q0,7,29,LM Dirichlet
trigram_Doc_TC.txt,-24.325625731264175,Q0,7,30,LM Dirichlet
bigram_Doc_TC.txt,-24.325625731264175,Q0,7,31,LM Dirichlet
Earth%27s_energy_budget.,-24.340640557288012,Q0,7,32,LM Dirichlet
Radiative_forcing.,-24.341321031203186,Q0,7,33,LM Dirichlet
Flexible_Mechanisms.,-24.402345935585167,Q0,7,34,LM Dirichlet
Life-cycle_greenhouse-gas_emissions_of_energy_sources.,-24.424156919427276,Q0,7,35,LM Dirichlet
Joint_Implementation.,-24.435287291016444,Q0,7,36,LM Dirichlet
Greenhouse_Gas.,-24.448113030083775,Q0,7,37,LM Dirichlet
Climate_change_in_Sweden.,-24.545893997458123,Q0,7,38,LM Dirichlet
Climate_change_in_the_United_Kingdom.,-24.55740985117247,Q0,7,39,LM Dirichlet
Open_Carbon_World.,-24.557547226932602,Q0,7,40,LM Dirichlet
Emission_standard.,-24.614813477504732,Q0,7,41,LM Dirichlet
Scientific_opinion_on_climate_change.,-24.62836415254538,Q0,7,42,LM Dirichlet
Glacial_period.,-24.644061843731997,Q0,7,43,LM Dirichlet
Politics_of_global_warming.,-24.65064079795007,Q0,7,44,LM Dirichlet
Environmental_impact_of_the_energy_industry.,-24.652035609532774,Q0,7,45,LM Dirichlet
Climate_oscillation.,-24.679909011071366,Q0,7,46,LM Dirichlet
Carbon_neutrality.,-24.695904881280484,Q0,7,47,LM Dirichlet
Carbon_neutral.,-24.697781305489965,Q0,7,48,LM Dirichlet
unigram_Doc_TC.txt,-24.748243918598586,Q0,7,49,LM Dirichlet
Individual_and_political_action_on_climate_change.,-24.784964008485964,Q0,7,50,LM Dirichlet
Climate_change_in_the_United_States.,-24.79670006562455,Q0,7,51,LM Dirichlet
Climate_change_in_Canada.,-24.810259891323447,Q0,7,52,LM Dirichlet
4_Degrees_and_Beyond_International_Climate_Conference.,-24.8156411327343,Q0,7,53,LM Dirichlet
Clean_Power_Plan.,-24.82859889512389,Q0,7,54,LM Dirichlet
Climate_change_in_New_Zealand.,-24.84955221367519,Q0,7,55,LM Dirichlet
Carbon_dioxide_in_Earth%27s_atmosphere.,-24.881183922225908,Q0,7,56,LM Dirichlet
