,LMDirichlet_score,QO,query_id,rank,system_name
Urban_horticulture.,-15.598091970545859,Q0,8,1,LM Dirichlet
Sustainability_marketing_myopia.,-15.63109659655945,Q0,8,2,LM Dirichlet
Urban_heat_island.,-16.084481184390533,Q0,8,3,LM Dirichlet
Climate_change_adaptation_in_Nepal.,-16.510613828664063,Q0,8,4,LM Dirichlet
Sustainable_living.,-16.577036809706403,Q0,8,5,LM Dirichlet
Low-impact_development_(UK).,-17.049406407535013,Q0,8,6,LM Dirichlet
Climate_change_in_China.,-17.073840489424818,Q0,8,7,LM Dirichlet
Sustainable_architecture.,-17.377970051966322,Q0,8,8,LM Dirichlet
New_Urbanism.,-17.56355678655506,Q0,8,9,LM Dirichlet
Climate_change_and_poverty.,-17.854971891912037,Q0,8,10,LM Dirichlet
Urban_sprawl.,-18.086296257520978,Q0,8,11,LM Dirichlet
Simple_living.,-18.127141803975086,Q0,8,12,LM Dirichlet
Reforestation.,-18.18192854824332,Q0,8,13,LM Dirichlet
Runoff_footprint.,-18.283549786952648,Q0,8,14,LM Dirichlet
Ecological_footprint.,-18.292822871433824,Q0,8,15,LM Dirichlet
Water_scarcity.,-18.50126847491354,Q0,8,16,LM Dirichlet
Water_crisis.,-18.50234635152276,Q0,8,17,LM Dirichlet
Green_conventions.,-18.515077292072977,Q0,8,18,LM Dirichlet
Waste.,-18.59773315271088,Q0,8,19,LM Dirichlet
Deep_ecology.,-18.785610761654652,Q0,8,20,LM Dirichlet
Chief_green_officer.,-18.879963744412578,Q0,8,21,LM Dirichlet
Forestry.,-19.025049573535973,Q0,8,22,LM Dirichlet
Carbon_tax.,-19.02658359942333,Q0,8,23,LM Dirichlet
Urbanization.,-19.036802010122223,Q0,8,24,LM Dirichlet
Cement.,-19.06823200248877,Q0,8,25,LM Dirichlet
Green_belt.,-19.144912024297653,Q0,8,26,LM Dirichlet
Sustainability.,-19.157850866777956,Q0,8,27,LM Dirichlet
Green_marketing.,-19.31343845504292,Q0,8,28,LM Dirichlet
Permaculture.,-19.370085014976993,Q0,8,29,LM Dirichlet
Public_opinion_on_global_warming.,-19.376286086562878,Q0,8,30,LM Dirichlet
Endangered_species.,-19.457372802836016,Q0,8,31,LM Dirichlet
Human_population_planning.,-19.526622293997384,Q0,8,32,LM Dirichlet
Human_population_control.,-19.527886216940153,Q0,8,33,LM Dirichlet
Population_and_housing_censuses_by_country.,-19.534382018912304,Q0,8,34,LM Dirichlet
Wood.,-19.670951187510106,Q0,8,35,LM Dirichlet
Politics_of_global_warming.,-19.800303517856907,Q0,8,36,LM Dirichlet
Forest_gardening.,-19.847677630481847,Q0,8,37,LM Dirichlet
2000-watt_society.,-19.91813056514378,Q0,8,38,LM Dirichlet
Appropriate_technology.,-19.989768894834185,Q0,8,39,LM Dirichlet
Rainwater_tank.,-20.053413877389005,Q0,8,40,LM Dirichlet
John_Lennon.,-20.107476794030305,Q0,8,41,LM Dirichlet
India.,-20.160617026205372,Q0,8,42,LM Dirichlet
Sustainable_business.,-20.17745984678942,Q0,8,43,LM Dirichlet
Sustainability_practices_in_organizations.,-20.180176008365784,Q0,8,44,LM Dirichlet
Ice_cap.,-20.202694677433197,Q0,8,45,LM Dirichlet
