,LMDirichlet_score,QO,query_id,rank,system_name
Carbon_intensity.,-12.351339676717092,Q0,1,1,LM Dirichlet
Clean_Development_Mechanism.,-12.39109469502834,Q0,1,2,LM Dirichlet
Carbon_credit.,-12.444196329606411,Q0,1,3,LM Dirichlet
Carbon_emission_label.,-12.633717600818969,Q0,1,4,LM Dirichlet
Emissions_trading.,-12.650032808901802,Q0,1,5,LM Dirichlet
Carbon_offset.,-12.677382526054279,Q0,1,6,LM Dirichlet
Low-carbon_economy.,-12.797341710135584,Q0,1,7,LM Dirichlet
Carbon_sink.,-12.869433902683884,Q0,1,8,LM Dirichlet
Carbon_dioxide_sink.,-12.87097748483566,Q0,1,9,LM Dirichlet
Carbon_Footprint.,-12.90445558082249,Q0,1,10,LM Dirichlet
Carbon_diet.,-13.046842627462766,Q0,1,11,LM Dirichlet
Carbon_tax.,-13.05936067490316,Q0,1,12,LM Dirichlet
Flexible_Mechanisms.,-13.067923234681846,Q0,1,13,LM Dirichlet
Carbon_neutrality.,-13.085164149246255,Q0,1,14,LM Dirichlet
Carbon_neutral.,-13.087040573455738,Q0,1,15,LM Dirichlet
EU_Emissions_Trading_Scheme.,-13.319497270526234,Q0,1,16,LM Dirichlet
Weighted_average_cost_of_carbon.,-13.47246420500501,Q0,1,17,LM Dirichlet
Climate_change_in_New_Zealand.,-13.540511484776427,Q0,1,18,LM Dirichlet
Enterprise_carbon_accounting.,-13.715704023578425,Q0,1,19,LM Dirichlet
Reducing_emissions_from_deforestation_and_forest_degradation.,-13.742169791978219,Q0,1,20,LM Dirichlet
Carbon_accounting.,-13.766450075898602,Q0,1,21,LM Dirichlet
NEDC_test_cycle.,-13.855065216010274,Q0,1,22,LM Dirichlet
Emission_standard.,-13.866611332302938,Q0,1,23,LM Dirichlet
Chicago_Climate_Exchange.,-13.956157663883742,Q0,1,24,LM Dirichlet
Greenhouse_gas_inventory.,-13.958621678045056,Q0,1,25,LM Dirichlet
Emission_Reduction_Unit.,-14.039199695913517,Q0,1,26,LM Dirichlet
Certified_Emission_Reduction.,-14.061329899289994,Q0,1,27,LM Dirichlet
Certified_Emissions_Reduction.,-14.0689744379807,Q0,1,28,LM Dirichlet
Greenhouse_Gas.,-14.140956259675665,Q0,1,29,LM Dirichlet
Climate_change_in_China.,-14.173825910820323,Q0,1,30,LM Dirichlet
Climate_change_mitigation.,-14.227642812529783,Q0,1,31,LM Dirichlet
Regional_climate_change_initiatives_in_the_United_States.,-14.32266744513088,Q0,1,32,LM Dirichlet
